DT_REFERENCIA;PROJETO;TIPO;VALOR_TEC;VALOR_COM
01/02/2024;PRJ-99612;GUIA;9;9
01/02/2024;PRJ-99613;GUIA;9;9
01/02/2024;PRJ-99614;GUIA;9;9
01/02/2024;PRJ-99615;GUIA;9;9
01/02/2024;PRJ-99616;GUIA;9;9
01/02/2024;PRJ-91518;GUIA;9;9
01/02/2024;PRJ-99633;GUIA;9;9
01/02/2024;PRJ-99635;GUIA;9;9
01/02/2024;PRJ-99648;GUIA;9;9
01/02/2024;PRJ-99653;GUIA;9;9
01/02/2024;PRJ-99427;GUIA;9;9
01/02/2024;PRJ-91383;GUIA;9;9
01/02/2024;PRJ-99657;GUIA;9;9
01/02/2024;PRJ-99661;GUIA;9;9
01/02/2024;PRJ-99662;GUIA;9;9
01/02/2024;PRJ-99665;GUIA;9;9
01/02/2024;PRJ-91762;GUIA;9;9
01/02/2024;PRJ-99671;GUIA;9;9
01/02/2024;PRJ-99674;GUIA;9;9
01/02/2024;PRJ-92733;GUIA;9;9
01/02/2024;PRJ-99678;GUIA;9;9
01/02/2024;PRJ-99717;GUIA;9;9
01/02/2024;PRJ-99729;GUIA;9;9
01/02/2024;PRJ-91992;GUIA;9;9
01/02/2024;PRJ-99736;GUIA;9;9
01/02/2024;PRJ-99737;GUIA;9;9
01/02/2024;PRJ-99738;GUIA;9;9
01/02/2024;PRJ-99752;GUIA;9;9
01/02/2024;PRJ-99899;GUIA;9;9
01/02/2024;PRJ-99749;GUIA;9;9
01/02/2024;PRJ-99247;GUIA;9;9
01/02/2024;PRJ-99761;GUIA;9;9
01/02/2024;PRJ-99775;GUIA;9;9
01/02/2024;PRJ-99777;GUIA;9;9
01/02/2024;PRJ-99581;GUIA;9;9
01/02/2024;PRJ-99745;GUIA;9;9
01/02/2024;PRJ-99631;GUIA;9;9
01/02/2024;PRJ-99746;GUIA;9;9
01/02/2024;PRJ-99747;GUIA;9;9
01/02/2024;PRJ-99791;GUIA;9;9
01/02/2024;PRJ-99829;GUIA;9;9
